,reviews,ratings
97,I wish the fabric was nicer - it's kind of slippery and cheap.,3
98,"Very pretty and durable, but it does look like fake gold because it is a little to gold.",4
99,This razor makes my husband face smooth and fabulous. Easy to use and small in sace.,5
100,"I think it works, but takes about more than two days",4
101,This product did not have a safety seal nor did it come in a Dermalogica box.  All of this makes me questions it's authenticity.,2
102,I have tryed every base possable and for the price can't be beat! I would recommend to everyone and is so lite and even coverage!,5
103,Came broken and the nail glue was spilling  did not work and both back eating where blended :(,1
104,I am so disappointed was looking for a facial system but this is not for me  better luck with something else,1
105,Love the color and the moisture it gives my lips.  I reapply after lunch and that is it.  Gets me through the work day otherwise!,5
106,The caps came broken. This is the second time I ordered these just because I like the size and I can't find any other brand.,2
107,I use a wheelchair and the back of my legs get sore. This really helps keep them moisturized so they don't hurt,5
108,I really like this product except wish the part that goes around the hair was larger.,4
109,can't get it to stay in my hair without pulling.,2
110,"I have very fine hair and this doesn't release my hair well, it get tangled in it.",2
111,"Cute! Got the blue ones, but I will probably replace the clips since they slide around a lot.",4
112,"Shave is smoother, but not a huge fan of the aroma.",3
113,My wife loves this product and it seems to be mellowing her eczema very nicely.  One of the very few products she's had success with!,4
114,"Don't provide the same amout of good shaves, but the quanitiy buy makes up for it.",3
115,"Shaves well for about 1.5 years, it is not as good as it used to be even when I've bought and replaced the shaving heads.",4
116,Not as expected. Package states it is for holding compression legwear in place. I use it to keep thigh highs in place.,2
117,Not quite as close a shave as I hoped but performs well to the described specifications.,3
118,Love it. Wish it came with a smaller brush for my 3 year old but I can order it so there is a quick fix.,4
119,"Youch, these things cut like no other razor I've ever used! Will never buy again.",1
120,I was looking for a spray on toner that would promote normal facial acidity with no harmful ingredients.  This is perfect!,4
121,Fragrant but more old fashioned rose than anything else. seemed a bit strong too,3
122,The fit is good and it definitely protects your hands. I am pleased to have found these.......,5
123,"I purchased the lavender spray made by this same company and I liked it.
However, I did not like the scent of this spray.",1
124,"Local drugstores don't stock it. Only their own brands. Hateful. But from big A,
Good old Johnson's!",5
125,Only bad thing is it makes your cuticles orange so you have to wash it off,4
126,"Good product, but the label of the bottle wouldn't stay.",4
127,"It only worked for one year. It stoped pumping water after a year. For the price, I expect it can last longer. Disappointed.",2
128,"It is a lightweight tool, which great water pressure to clean out even the most stubborn piece of food. It works quite well to remove plaque!",4
129,"Worked great initially, but broke after two months. Will be buying a better version!",1
130,Exactly what I thought it was. Easyto use and looks exactly like the picture.  The only issue is that it is not really a rounded bottom.,4
131,I have been wearing this fragrance for years and the body cream luxurios. In fact I wear it alone for a longer lasting and subtle effect.,5
132,"If you have a Braun Electric Razor with Cleaning Station, these are a must to keep it clean and fully charged with no trouble.",5
133,"Great idea, smaller than I thought but it got the job done.",4
134,"Great light and the correct bulb for my vanity mirror; however, they get super hot!",3
135,A bit smaller than ortopads. Not a big difference in price. My son did like the prints.,4
136,"It brings way less that what they advertise, are a little see trough but they are ok",3
137,The neck is loose! It doesn't wrap around necks tightly. Hair sneaks into the the neck.,1
138,"This razor has a really long battery life and gives a smooth shave, but does not seem to get any closer than previous generations.",4
139,"Tea tree oil works great for itchy bites, but warning: the smell is SUPER strong!",4
140,"I use it for my tanning bed. Does what it suppose to do. But feels a little sharp.
It works.",4
141,Fast shipping.  Product smells fantastic but not any better than $2.00 shaving cream.,2
142,"as a matter of fact, it so pleased me that I ordered another copy for my daughter, who is just starting to learn to preserve foods.",5
143,Using for the last few weeks; not noticing any improvement yet. Will continue using the product.,4
144,The oil actually kind of dries my skin out as it dries.  I purchased a different brand that does not do that.,2
145,"They're hard, uncomfortable, they fall out, and they don't push anything up. Save your money.",1
146,The sides are so sharp it actually scratch her ear to the point of bleeding,1
147,great buy! better than buying  a new shaver!!,5
148,Loved how soft my skin felt after bathing with this soap,4
149,My favorite root concealer! I have dark brown hair but the medium brown works best.,4
150,High quality wave cap but wears out after a month of use.,3
151,very flimsy. not as long as the pic. but it looks pretty good,3
152,"Love the spritz for in the diaper bag, it's quick and easy.",4
153,Ok....liked the fuzzy peach much better....don't they make that anymore ?,2
154,"I love everything except the wax that came with it. The creme wax only manages to pull off baby hairs. Anything thicker, it leaves behind.",4
155,Good - works. You can buy other brans that work too that aren't as expensive,4
156,"These are a fairly sharp blade, but do not last more than 1 or 2 shaves with my beard.  Good value and good beginner blade.",4
157,I've been using it religiously but it seems to have gotten very chalky and takes ages to absorb into my skin.,2
158,Small compact board.  Nice colors to choose from and easy to store.,4
159,I am new to safety razors and still trying blades. These work . What more can I say. Sure beats plastic throw-away shavers.,4
160,Definately a blend with other florals. Trace of spice. Did not like.,2
161,"wrong product, didn't work.  could not have been a worse experience, sadly.",1
162,Works well but can irritate your skin if in constant contact with your skin over time. But it does work well on your hair.,5
163,I found the trays hard to keep in place....but will try them again to see if I notice a whitening.,3
164,"Uncomfortable, slides around, didn't work for me.",1
165,"they were cute, a little more girly than i expected, my little sister now owns them",4
166,"This product came missing a gem. It wasn't even in the package, so it was packed this way. Poor quality.",1
167,"Worked great and as expected.
Good product at a good price.",4
168,There are such beautiful  colors of glitter to choose from love the extra style,1
169,Best trimmer made!  A breeze compared to others we've tried.  Trims with ease and very clean.  ~Highly Recommended~,5
170,Stopped working after about 100 hours of use. First the rotor than the light.,2
171,"Has very little power and the Tangle Free title doesn't apply if your hair has any length, mine is just above my shoulders.",2
172,My wife isn't sure its doing anything but said shes not sure if she has used it long enough.,3
173,i use it probably every other day. helps control age spots and deeper wrinkle. must be used with a good moisturizer.,4
174,"I love this Tiara just what i was looking for and it sparkles beautifully !
Will be using it for my upcoming wedding",5
175,This was a very nice lipstick and it came very fast.,5
176,wORKED GREAT FOR HALLOWEEN FACE MAKEUP IDEA MY FIANCE HAD AND DIDNT USE MUCH! CAME OFF PRETTY EASY TOO. WILL HAVE PLENTY FOR NEXT YEAR! THANKS,4
177,"Looks cheap, snapped like a twig first day of wearing it.",1
178,These razors are great.  Shipping time and product is awesome! Thank you very much.  Will purchase again.,5
179,"gift for my sister, she loves them.  great value.",4
180,It has no smell to it.  Not like I got in the store.,1
181,I love this color so much. These blushes an bronzers are my fave. I have really sensitive skin and they never ever break me out.,5
182,"A nice sturdy shaving stand. The finish is nice, and the stand as a sturdy base so that it doesn't fall over.",5
183,"This works well and smells good, and this was a great price for a six-pack.",4
184,"Very pretty, large opening to fit paper rolls, good size, worth the cost.",4
185,"Some came broken, but honestly I wasn't expecting much.",3
186,This my 4rd trimmer in 15 years and by far the best yet. Love the vacumn collection space as the mess leaves very little cleanup.,5
187,Used product for about one month (occasionally) and it quit working.  Would not buy again.  Looks nice but that is all.,1
188,"Contains chemical know to cause cancer, birth defects and other reproductive harm. This wasn't shared in the Amazon product description.",1
189,Not as long as I like my barber Scissors but I still like them Sharp,4
190,"Nice stand, matches my razor. Brush holder is too narrow, but not a big deal. Shipped insanely quickly.",4
191,I like Oral-B floss. It's better than the diffrence floss,4
192,"The fragrance is delightful, not overpowering or dominant or lasting so that it would annoy others. Excellent price for the quantity, and ecologically certfied.",5
193,This is a great Argan oil. It's been wonderful for my skin with the harsh winter conditions we have in the Northeast.,4
194,Still had tooth pain & sensitivity -- but it did help a little.  Guess I'll have to break down and go to my dentist.,3
195,It was yellow gold not coffee brown when I recieved it....,1
196,recieved product in a timely manner. so for no issues with the brushes,4
197,Cool feeling on the eye and the dark circles start to disappear !,4
198,"Didn't receive correct item; instead I got rosewater with glycerin in an atomizer.

Still happy with product, chose not to return.",3
199,"Even used at the lowest power level, it made my gums bleed. It also was very messy.",2
200,These are really inexpensive but much harder to use. They easily slide off your teeth. I'd recommend the advance seal version instead.,3
201,So what did you find that worked well????,3
202,"Product is good, however, the teeth are a bit too long to effectively grab shorter hair.",4
203,After 2.5 years (not daily use) the button is sticking--the one you use for the flow of the water.,3
204,This stuff worked for a while but then my two Daughters began to acquire a taste for it and they didn't mind the bitterness.,4
205,"It's a good product, the 220 voltage option only works in low.",3
206,"Does nothing as advertised ,total waste of money, would not be buying this ever again .do not waste your money",1
207,"Not perfectly made but hey,,,I'm sleeping in it so it will do.",3
208,"Looks nice but my razor will not stay on the stand, it falls off.",3
209,Arrived like used. Only 80% liquid left in the bottle.,2
210,"PURCHASED AS A GIFT BUT HAVE ONE. I LIKE IT, IT WORKS WELL FOR ME. WOULD RECOMMEND VERY HIGHLY AGAIN.",4
211,I am very pleased with this unit.  A great improvement over previous available units.,4
212,I like that there are three different sizes and they're made well. I just wish the smallest wasn't quite so small.,4
213,I bought this for my daughter who after three weeks of use does not see any difference whatsoever.,3
214,Didn't quite get the relief I was hoping to have,3
215,These look a little cheap. I'm not using them on my nails anymore because there are prettier gems out there.,3
216,I love this soap. Simple as that. Great product and fast delivery.,5
217,Does the job but is a little messy because it's hard to keep the pic in your mouth the whole time.,3
218,"It's a rich, thick formula that is great for dry skin",4
219,Not durable.  It's be gas falling apart n had to throw it away 2nd week.  Don't waste your money on this cheap garbage.,1
220,Came broken. I should have taken into consideration the review stating that fact. Imagine being super happy then super disappointed in the same minute!,1
221,I really like my gun. Run 2 tattoos it is smooth will order another one,4
222,"nothing fancy, simple and sleek shave soap bowl that gets the job done",4
223,"Awesome quality, looks very presentable having it on the counter with my matching silver razor..the price is amazing for what it is!",5
224,I felt misled.  It said 4head headbands - plural.  I was expecting four in quantity and only received one.  They should make the heading singular.,2
225,"The service was great, but I returned this grooming system unopened because I decided to purchase a more expensive clipper with a set of separate combs.",3
226,"I received a 3oz container, not 5oz as advertised. It is clearly the old packaging, not the new design that is shown in the image.",1
227,Excellent!  Keeps estrogen levels low esp when you are peri menopausal or starting towards me pause.,5
228,"I need a smaller barrel, but couldn't find one.  Otherwise it was o.k.",4
229,"Moisture doesn't really last. I like to use Avocado butter, moisture lasts for a long time and more creamier.",3
230,Came in a timely manner and works perfectly.  It was much cheaper than other places that  l checked,4
231,"The product have a down quality and it come in a big box unnecessarily, cause it's too short, and I loose money with the courier.",1
232,Great product and received it very quickly since I ama Prime member,5
233,"It was beautiful. Everything I expected.... The green is not as deep of a green as picture, but still beautiful.",4
234,Great product ! Smells really nice and works well for natural hair!,5
235,"Product does not come out smoothly, it splatters and drops get everywhere.  Otherwise, I would have loved it.",3
236,Color is not the same as the photo. I realize my computer monitor may have caused that.,3
237,this is the best blush by far. a must have.,5
238,i had to dig my old blades and screen out of the garbage...these blades wouldn't shave the fuzz off a peach...fail,1
239,These are great toothpicks but can be a choking hazard for young children.,4
240,Nice case for the price.  No complaints  Hope it lasts.,5
241,"Very nice, looks great by my foot bridge. Connecting wire is just a bit too short, another 3-4 inches would work",4
242,I have a fairly thick hair.  These were ok. Nothing special.  A Mach 3 would have been much better.,3
243,This is an awesome stocking cap for compression when heavy or mildly wolfing during a wolf! I definitely will recommend this product!,5
244,ME ENCANTO FUE UN BUEN REGALO PARA EL CUMPLE DE MI HERMANA Y TAMBIEN LE GUSTO MUCHO RECOMIENDO ESTE VENDEDODR MUY PUNTUAL Y ME GUSTO MUCHO EL PRODUCTO,4
245,Love this product....works well if you hate flossing the regular way:-),5
246,Huge improvement has been made to this appliance.  Many options and adjustable spray are welcomed additions for us.,4
247,"this product did not do anything except block pores ,it is not a treatment or a primer,",1
248,"nice , but broke on day 2... too soft...",4
249,"I like the smaller brush, but find the dryer quite heavy and bulky.",3
250,The teeth are too long for short hair.  It wouldn't work on my hair.,2
251,This product doesn't meet the need very well but is somewhat helpful.,3
252,"I thought I was getting a long cape, it was just and oversized bib. But you get what you pay for.",1
253,Owned this for 3 or 4 weeks so far. No complaints.,4
254,This is a decent hand and body lotion that moisturises and absorbs fairly quickly.  The scent is recognisably lavender but a bit unnatural though not unpleasant.,3
255,It was a lot smaller than expected. But i am still pleased,4
256,I felt totally refreshed and and the scent was wonderful after using this soap.,4
257,Very happy with this curling iron. Perfect size wand for med short hair!!,4
258,"Arrived sooner than expected and they sparkle very nicely, my only complain is that they are a bit large for my tragus.",4
259,Died after less than 2 months of use. Don't waste your money.,1
260,Not as soft as you'd think. Also I thought it would be 4 different colors in the box.,3
261,"It is too pasty, I bought it thinking it was one of those lip stain products out there but I was wrong.",1
262,"Does it's job, holds my razor and brush well...Chrome finish is nice and looks classy in the bathroom.",4
263,All OF MY BRUSH HEADS CAME OFF VERY POOR QUALITY!!! wish I could get my money BACK OR SOME NEW BRUSHES!!!!,1
264,Seem to work.. results weren't as dramatic as I expected but will use in future,4
265,These stamping polishes are far too translucent and not pigmented enough to cut it. I was very disappointed.,1
266,Didn't have 20 sent to me and I've already had three fall apart. I guess you get what you pay for.,2
267,2 years later it's still working for my son. Good product.,4
268,"I love this lotion, but I get it at Walmart for half the price ($3.67).",4
269,"After several weeks of consistent, daily use, there are no changes. I'm disappointed with this product to say the least.",1
270,Very high quality.  Heavy in feel and very shiny.,5
271,"love the way this stuff smells!  i have to rub it in so i don't have oil marks on my skin, but that's ok.",4
272,"Best makeup brush cleaner I have ever used!  No clue what's in it, but my flat kabuki has never been cleaner!",5
273,I would start with using this cream once a day. it does an excellent job drying out acne but that means dry skin and flaky make up,3
274,Only been using about 3 weeks so far product works as described. Be sure to read instructions carefully.,4
275,"Not as pictured. I wanted tubes with a rounded top like it shows, they are ridged.",1
276,Had a hard time pushing it through the hole. I wound up giving them away.,2
277,I actually expected an oil instead of a pomade. It was actually hard pomade too... No fancy from my part... Makes hair fill heavy..,3
278,YUCKY! Super gross flavor. Too much salt. Donated it to a shelter.,1
279,I've been using every night for almost 2 weeks and see minimal lightening if any.....don't know if I would purchase again.,1
280,The hat was not like the picture it is much smaller. The hat is like a fitted cap. Nothing like I ordered. Very disappointed.,1
281,"Works well, although haven't had much use for most of the attachments.",4
282,Doesn't seem like the actual product from Victoria's Secret. ,1
283,Didn't fit. It was confusing. I didn't like it,1
284,"It didn't last very long the cord leaked at the handle connector and broke off....No way to repair it, less then 2 years old...",1
285,"It will stain your pillow really bad!  Even after a whole day using it, it got my pillow case painted!",1
286,"Good Shaver, takes a little getting used to. May get a little irritation first week or so, after that fine.",5
287,It works as good or better than the expensive tanning lotions sold at my tanning salon. Need a great tan use this stuff.,5
288,"These fell apart so easily, I would not recommend this product. I'm not satisfied with my order and will not be ordering again.",1
289,"very harsh on my skin. I love their cleanser, but this toner is way too harsh and abrasive on my skin.",1
290,Does not fit my dryer!!!! Seems well made but definitely NOT universal!,1
291,"Gross, don't buy.  Smells cheap and just plain awful!",1
292,"Crap. For really smaller nips and it doesn't stick. Unfortunate too, since it's all hand-stitched.",1
293,This ddnt work for me. Used morning and night as a moisturizer but no change. Glad it made a difference to some. Not on me.,1
294,"Its a very good color on my fair skin. However, at 29, the slight sparkle seems a bit much.",4
295,this is a very great spray to reduce bruising and spells good for aroematherapy.  works great but expensive for the amount you get.,4
296,"It broke the first time I used it. The brush came right off, the plastic was stripped where it attached to the handle.",1
297,The wig is adjustable but came in just an envelope so it was all smashed and has to be brought back to life.,3
298,Horrible...this stuff has hyaluronic acid in it. It makes my face break out.,1
299,These work well but are somewhat wasteful - better to just get a pot of wax and cloth strips and DIY,4
300,I like this thing and the pressure seems pretty good. My only complaint is that the picks break easily if dropped.,4
301,"I bought one a few days ago, it arrived yesterday. I tried this morning, it works very well. a good product.",4
302,"The skin looks greasy and leaves oily spots, so basically I cannot touch anything after applying this ointment. Don't recommend it at all :(",2
303,This mask is very comfortable and relaxing. Its perfect for a spa day at home when you just want to kick back and forget about your worries.,4
304,the connector ends where too stiff and I had difficulty attaching and releasing devices.  Not much more to say... did not work for my application.,2
305,I charged it up once and a month later its still going strong. Its not great but worth the price,4
306,Color matched really well. Stayed on even after brushing.  washed right out no residue. nice dispenser pin point onto the gray,4
307,Ink pen that came with the labels does not write on them.,3
308,Great compression when double folded..great product and quality..but boo boo...? Haha,4
309,have used this before. they do the job. works great for people with sensitive skin too. found it to be safe.,4
310,"Not sure how to use it as there are no instructions, was expecting a much easier to use product and have not successfully used this one time yet",2
311,"We've been using for a few months and it still annoys me. If you don't like sweat/deodorant stains, don't buy this product.",3
312,"Really nice lipstick, sort of a dark red if you layer it on. Compliments my skin well.",4
313,Ok but wish it would heat up more. Will do until I find a better one,3
314,"After a while,  the round handle piece breaks and the numbers completely rub off easily.",3
315,Works okay but can be hotter to help set the curl better.  It does get tangled in the hair and the button does not work,4
316,"its a little sticky, and not the color i ordered.",3
317,It does the job. I use this for nail art and it works great to keep my nails protected from unwanted nail polish.,4
318,"Though I was not a big fan of the flavor, my younger brother loves it. Super easy to clean.",4
319,the razor that I ordered is what  i got and seems to work good.  I would recomend this razor to others,4
320,Got a really bad body rash all over that required a dermatologist. It smells nice tho. Sorry I can't recommend it.,1
321,Total waste of money!  I can't imagine there is anyway to use this stuff and not get it in your eyeballs.  Painful!,1
322,"Great colors, all very organized. Perfect for my needs. Makes all my nail art extra fun to do by adding extra sparkle.",5
323,seem to keep the light out while doing a facial but still need to put cotton pads underneath.,3
324,Love the smell and makes my daughter's hair very soft.,4
325,Does exactly what it needs to do and isn't hard to clean. Has protected my brush very well.,5
326,This product didn't last a full month as expected because the stickiness wore off.,1
327,Its very nice but clips are too short and slips off sweaters easily. It is hard to hold on clip to open and slip on sweater,3
328,cant stand up to daily use. very hard to get replacement tips. too expensive for an item that isn't made to last.,4
329,This item is over priced! I bought one just like it for $9.00. 4 stars for the product,4
330,"Great stuff, thanks Plant Therapy, for living up to my expectations.",5
331,Love it!  for a small unit really scents my whole house,5
332,"Horrible, cloying perfume. Reeks of cheapness. Overwhelming floral stench. Save up and buy something decent, FFS.",1
333,This is my second one- the first broke after about 5 years. It does the job for a reasonable price.,4
334,"It is Ok blade. It will give me decent shave.
Not impressed though. Persona or Astra works much for me better.",3
335,Very very disappointed!!! Sealed was broken on product and I thought it was clear but thats ok just not happy with damage product,1
336,Still unable to find shaver that my b/f can use on his face that will last over 2 weeks!,3
337,As great as the one for baby use. Can sooth chapped skin quickly and well.,5
338,"rub a small amount into palm.
spread it around
cost effective
it lasts a long time.
it is hard to detect that you are using.",4
339,Exactly as pictured but came kimda squished and folded weird. I just ironed them back to normal. Super cute!,4
340,"its ok. the same quality as the one that came with the flosser, however, i didn't get to this and my airfloss broke.",3
341,"Color is white not ivory or off white. It's functional and good to heal my dry hands.
Easy to wash.",4
342,Brushes are great. Just wished it labeld what each one is used for you.,3
343,Cheaply made junk...  Daughter only had it for a couple days before it broke,1
344,I cannot get enough of this stuff. Makes my hair so shiny!,5
345,"Product delivered was not same as picture.  Received Cinema Secrets brand of liquid latex, not the Mehron brand.  Disappointed.",1
346,"Very thin material.  Made for adults.  not children, the neck was too large",4
347,"The ""push up"" tube is hard to use because it doesnt stay up.",3
348,"Shaver works very well, but the trimmer is too small for what I use it for.",4
349,"Came quicker than estimated..which was a nice surprise. It is cute, you know...it is your average everyday little necklace :-)",4
350,Nice little unit. Don't need all the extra attachments but am sure that other users would find them useful. Priced right.,4
351,"Overpriced, overhyped, over everything, silly name.
Ugly color, almost tangerine. Yuck!",2
352,"After using this product continously for 14 days, I did not see any difference in color of my teeth. $25 down the drain.",2
353,Exactly what was needed and at a fair price. I could not find this exact bulb anywhere locally,5
354,works well- but sounds much noisier than previous one. Sounds like it is will die any day.,4
355,Smells wonderful and lathers great. My favorite brand for my boys. A little bummed that the bottle leaked in the shipping box.,4
356,I have been using this product for quite a while now. I really like it!,4
357,The best around.  Good for day to day use.,5
358,Standard brand item at a low price.  used the option to have periodic deliveries and saved even more.,4
359,"It smells weird. The ""cream"" looks more like cottage cheese.",2
360,Not creamy at all and very difficult to blend into skin.,2
361,A bit awkward in some ways but it works well and gets the teeth clean.,4
362,I'm a licensed esthetician. I've Used this kit for 6 months and it has worked out great! Everything was received in good order.,5
363,Very light and not oily ..so far im liking this product,4
364,Pendant was twisted and stone had fallen out. The chain had a broken clasp.,1
365,Love all the scents. Nice selection that lasts a long time,5
366,I can't find another pre-electric that can compare. Also the price is right.,4
367,Fast shipment. But I've been using now for almost 4 weeks and absolutely NO difference in my dark spots. Very disappointing. =(,2
368,"Hard set, will keep but would not buy another one.",1
369,The soap is good. Im surprised by its aroma and quality but the 3.00 shipping kind of steers me away from the product.,3
370,i was very pleased with the product.. works very well on any part of the body. especially on its titled location.. very smooth.,5
371,"They're cute; smaller than I thought, and kind of come off looking like horns sometimes.",4
372,I am not happy with the flavor these sticks possess.  They do not seem natural.,3
373,It is much smaller than anticipated with no additional pockets. It does not hold nearly the amount of books I had hoped it would.,2
374,I read the reviews and was excited to try this. Very big disappointment. Lid cracked after arrival and did nothing as I thought it should.,2
375,"Nice, portable, does not feel or lather as well as my other brushes...will still be looking for another traveling alternative.",3
376,Bought this about 4 months ago and stopped working. Don't buy this. Waste of money.,1
377,didnt work the moment it was taken out of the package & took months to deliver!,1
378,"Burn face, but I use it to wash my hair.",1
379,you have to wear it for an hour and well it doesnt really work so great anyway,3
380,"I really love the color, but I hate that I have to keep reapplying it.",4
381,i didn't like it i used it on my face and for oily people don't use it is very greasy.,1
382,cheap pieces with sharp edges... but they were cheap.,3
383,Not as sharp as I hoped left a case of razor burn for me,3
384,This item is not at all as described. It isn't sharp enough to allow a person to cut anything!,1
